   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3794509	1652842	208773	490434	85522	64935	83116	310658	393774	2896280	76.3282
Khulna	3283347	1347837	193683	491513	88363	56304	66164	275753	341917	2519617	76.7393
Barisal	1527842	557994	53620	257431	48686	27840	31074	82799	113873	1059444	69.3425
Dhaka	4989544	2022142	331850	520998	138908	68529	39792	367856	407648	3490075	69.9478
Chittagong	4284582	1458463	216050	594761	131982	46318	26991	267133	294124	2741698	63.9899
Sylhet	1355825	465902	100430	154303	55041	16653	22176	66542	88718	881047	64.9824
Rangpur	3236865	1415255	85399	432587	48362	68304	124858	256875	381733	2431640	75.1233
Mymensingh	2130808	953523	66355	209068	46649	36337	45034	127216	172250	1484182	69.6535

 
