   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4100358	1641598	337427	614413	93635	131801	118916	342722	461638	3280512	80.0055
Khulna	3409743	1270260	268737	563511	80810	120977	84488	324889	409377	2713672	79.5858
Barisal	1608854	569522	76239	347828	48571	73695	53703	77624	131327	1247182	77.5199
Dhaka	5331139	2052385	454123	686831	152701	185374	99594	406483	506077	4037491	75.7341
Chittagong	4897463	1755573	328629	835871	168901	157010	75686	334627	410313	3656297	74.6570
Sylhet	1604336	582144	126942	214841	59193	57275	60238	133460	193698	1234093	76.9224
Rangpur	3510115	1360358	136416	633201	59869	139494	188471	251313	439784	2769122	78.8898
Mymensingh	2212747	973941	108371	311335	50784	86244	76533	115484	192017	1722692	77.8531

 
