   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3776492	1647212	207571	486648	85772	63998	81602	308996	390598	2881799	76.3089
Khulna	3281287	1357941	192226	483650	88431	55797	65074	275815	340889	2518934	76.7666
Barisal	1524837	559948	53871	253673	48673	27558	30536	82638	113174	1056897	69.3121
Dhaka	4981017	2018838	329447	517067	139082	67603	39451	364050	403501	3475538	69.7757
Chittagong	4266099	1454227	210907	586310	131282	44887	26569	264879	291448	2719061	63.7365
Sylhet	1353710	463128	95676	156001	55318	16443	21643	65602	87245	873811	64.5493
Rangpur	3232776	1417491	85144	425885	48225	67841	122220	256627	378847	2423433	74.9645
Mymensingh	2132260	952367	65576	205494	46194	35046	44579	126082	170661	1475338	69.1913

 
