   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4035438	1673609	293233	590611	99751	94917	122636	346101	468737	3220858	79.8143
Khulna	3389322	1291313	242400	549644	85734	92767	86700	333951	420651	2682509	79.1459
Barisal	1594687	550867	68453	340294	46774	57751	49177	78053	127230	1191369	74.7086
Dhaka	5256499	2093660	432643	682377	158796	131879	89561	408917	498478	3997833	76.0551
Chittagong	4639317	1679279	297994	792067	157391	106823	62842	323988	386830	3420384	73.7260
Sylhet	1502453	549188	124356	191968	60204	32935	52806	110610	163416	1122067	74.6823
Rangpur	3453018	1394273	121989	583658	56831	92406	190816	262558	453374	2702531	78.2658
Mymensingh	2187987	983283	102117	292712	54136	52918	76567	122724	199291	1684457	76.9866

 
