   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4133639	1652311	349802	617156	97139	148030	121705	351394	473099	3337537	80.7409
Khulna	3429757	1271360	274336	569974	81455	130327	84813	330973	415786	2743238	79.9835
Barisal	1618397	572801	75788	349181	50651	83058	55564	80523	136087	1267566	78.3223
Dhaka	5385080	2087855	468127	708273	160339	208214	107910	418540	526450	4159258	77.2367
Chittagong	4935604	1774863	331809	838816	174494	183548	78972	339069	418041	3721571	75.4025
Sylhet	1623581	596047	128028	219931	57361	65230	61557	138806	200363	1266960	78.0349
Rangpur	3545045	1368102	141809	639980	64118	154896	191996	258133	450129	2819034	79.5204
Mymensingh	2228480	981927	108536	314663	53075	99235	77512	117314	194826	1752262	78.6304

 
