   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4108031	1642329	339385	616336	94136	134464	119329	345758	465087	3291737	80.1293
Khulna	3415474	1270440	269274	565268	80004	122846	84779	325999	410778	2718610	79.5969
Barisal	1611179	569811	75443	348266	48814	75298	54352	78506	132858	1250490	77.6134
Dhaka	5344376	2066234	459784	692811	154220	189456	103297	407143	510440	4072945	76.2099
Chittagong	4903334	1756622	328458	833188	168428	161833	76364	334366	410730	3659259	74.6280
Sylhet	1608781	586118	126658	216096	58761	59892	60664	135061	195725	1243250	77.2790
Rangpur	3516479	1361284	136263	634998	60622	141469	189283	252515	441798	2776434	78.9549
Mymensingh	2216177	976716	108038	312635	51052	88068	76605	115416	192021	1728530	77.9960

 
