   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4145052	1686297	329117	622484	103338	120660	130304	372719	503023	3364919	81.1792
Khulna	3480818	1297624	259432	578834	89282	113096	90133	362170	452303	2790571	80.1700
Barisal	1623277	562590	73550	359561	52246	71283	56186	83504	139690	1258920	77.5542
Dhaka	5411940	2125735	454284	722123	172013	178343	112409	442539	554948	4207446	77.7438
Chittagong	4816409	1744291	322646	841029	171292	133868	73025	345090	418115	3631241	75.3931
Sylhet	1578501	571895	128747	206897	65549	46852	60695	128759	189454	1209394	76.6166
Rangpur	3555668	1401282	134166	635540	64437	124432	206712	276547	483259	2843116	79.9601
Mymensingh	2245135	994431	107864	320684	56160	73635	83716	128899	212615	1765389	78.6318

 
