   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3877303	1672011	229631	551309	99309	60715	94515	328607	423122	3036097	78.3044
Khulna	3350059	1365029	223065	544525	99013	52938	75406	300726	376132	2660702	79.4225
Barisal	1556019	558795	59775	297261	51855	26816	36707	85091	121798	1116300	71.7408
Dhaka	5062451	2058067	363194	593201	160116	68096	49172	388701	437873	3680547	72.7029
Chittagong	4374541	1514196	239435	681589	149141	49586	35634	286865	322499	2956446	67.5830
Sylhet	1386699	489371	106486	172883	58915	16896	30764	77703	108467	953018	68.7257
Rangpur	3314072	1415041	94642	515816	57545	61052	147954	269787	417741	2561837	77.3018
Mymensingh	2157321	978303	77289	242242	52984	33598	54700	128719	183419	1567835	72.6751

 
