   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4123400	1683386	323198	620316	102576	114429	129208	367586	496794	3340699	81.0181
Khulna	3465334	1296460	255107	574871	87903	107550	89554	357013	446567	2768458	79.8901
Barisal	1616252	559000	71864	358272	51151	68265	54811	82118	136929	1245481	77.0598
Dhaka	5379458	2123312	449877	711863	167050	166980	108058	434404	542462	4161544	77.3599
Chittagong	4783699	1731943	318483	831875	167387	127649	71184	340388	411572	3588909	75.0237
Sylhet	1563708	566875	127284	203480	63991	43447	59699	125693	185392	1190469	76.1312
Rangpur	3534673	1401283	131376	630663	63243	116806	204125	273609	477734	2821105	79.8123
Mymensingh	2226852	987616	106075	317033	55646	66750	82039	127073	209112	1742232	78.2374

 
