   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4016427	1698332	282479	596746	101514	73425	113909	341968	455877	3208373	79.8813
Khulna	3395162	1344688	231163	557666	91290	74887	85190	327752	412942	2712636	79.8971
Barisal	1576982	552393	67743	337435	47637	48212	45058	78750	123808	1177228	74.6507
Dhaka	5171600	2126641	412589	678575	159484	101195	75843	402728	478571	3957055	76.5151
Chittagong	4526368	1664836	291051	786442	155107	85251	52271	312847	365118	3347805	73.9623
Sylhet	1450111	545539	127035	192043	59157	26385	46376	99734	146110	1096269	75.5990
Rangpur	3404249	1435893	116022	564842	55549	66987	180067	267682	447749	2687042	78.9320
Mymensingh	2175047	1008869	98613	287216	53309	43154	69973	123592	193565	1684726	77.4570

 
