   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3967203	1699465	273314	582336	97297	52104	103673	326636	430309	3134825	79.0185
Khulna	3365994	1355999	229625	548361	89529	52087	78487	300934	379421	2655022	78.8778
Barisal	1554830	551468	66088	330133	45372	37344	39463	75047	114510	1144915	73.6360
Dhaka	5136195	2110377	403123	653553	148489	73531	61798	385586	447384	3836457	74.6945
Chittagong	4505599	1636273	283061	758069	148665	71157	44138	298673	342811	3240036	71.9113
Sylhet	1431758	537701	124863	188271	58034	21016	37283	88096	125379	1055264	73.7041
Rangpur	3359957	1448701	111245	538094	53170	49591	161158	257874	419032	2619833	77.9722
Mymensingh	2154707	1013861	97414	270187	48855	34113	61861	118186	180047	1644477	76.3202

 
