   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3788364	1660104	206752	485614	86088	63460	83153	309580	392733	2894751	76.4116
Khulna	3283003	1362101	196925	485341	88460	55296	64971	274704	339675	2527798	76.9965
Barisal	1527344	564031	54359	251441	48970	27629	30262	82743	113005	1059435	69.3645
Dhaka	4979756	2018798	326438	490976	139660	67154	38892	366704	405596	3448622	69.2528
Chittagong	4263400	1448392	209611	580476	134369	44602	26435	265105	291540	2708990	63.5406
Sylhet	1351847	462895	97795	151989	55454	16433	21611	65227	86838	871404	64.4603
Rangpur	3224022	1418457	84528	409238	48083	67025	123508	255589	379097	2406428	74.6406
Mymensingh	2129342	949007	65539	205129	46987	34814	44405	125119	169524	1471000	69.0824

 
