   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4005142	1697660	281228	591988	101312	69951	108621	334442	443063	3185202	79.5278
Khulna	3381367	1346738	231653	554215	91548	70250	81900	319716	401616	2696020	79.7317
Barisal	1570769	552967	67234	336969	47058	45327	41844	77145	118989	1168544	74.3931
Dhaka	5149513	2120986	411969	672105	156707	94675	68678	395602	464280	3920722	76.1377
Chittagong	4530945	1655723	289041	777415	154110	81577	48119	306349	354468	3312334	73.1047
Sylhet	1443381	543984	127290	191348	59387	25531	40918	94629	135547	1083087	75.0382
Rangpur	3382660	1436756	113572	555270	55803	64170	169908	263263	433171	2658742	78.5991
Mymensingh	2166897	1010286	95927	281378	52512	41599	65649	121540	187189	1668891	77.0176

 
