   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4167966	1687389	329082	627568	104105	125932	131080	376207	507287	3381363	81.1274
Khulna	3476142	1293457	254664	578958	90294	117805	90139	365253	455392	2790570	80.2778
Barisal	1628428	565624	73854	361308	53096	73144	56949	84582	141531	1268557	77.9007
Dhaka	5419080	2120077	449963	720474	172755	185207	114473	446319	560792	4209268	77.6750
Chittagong	4831448	1756295	325733	847340	173974	139361	74404	347298	421702	3664405	75.8449
Sylhet	1586318	576705	129474	212177	66817	49596	61327	130786	192113	1226882	77.3415
Rangpur	3569599	1396641	133797	638798	64898	132628	208298	278683	486981	2853743	79.9458
Mymensingh	2251995	993743	107480	322837	56599	78637	84516	129708	214224	1773520	78.7533

 
