   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3962146	1701705	270418	576210	95505	46962	102219	323842	426061	3116861	78.6660
Khulna	3358143	1357776	228808	543263	89094	41856	77278	307022	384300	2645097	78.7667
Barisal	1551195	554025	66373	325782	44475	33391	38740	74693	113433	1137479	73.3292
Dhaka	5117150	2101590	399806	644971	144448	60932	59184	381653	440837	3792584	74.1152
Chittagong	4494274	1626245	279610	749706	145725	66794	43157	295645	338802	3206882	71.3548
Sylhet	1427617	536069	124567	185574	57537	19420	36591	86556	123147	1046314	73.2909
Rangpur	3348554	1449720	111064	528463	52440	45653	160179	257881	418060	2605400	77.8067
Mymensingh	2147284	1013124	95554	262679	46970	28768	60483	117213	177696	1624791	75.6673

 
