   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4066418	1673129	306292	604679	101206	103920	125687	354152	479839	3269065	80.3918
Khulna	3416035	1291182	246579	561605	87400	99362	88204	342333	430537	2716665	79.5268
Barisal	1598769	555427	70663	349178	49188	62422	51309	78586	129895	1216773	76.1069
Dhaka	5333821	2113498	450575	696342	161762	146339	96655	418661	515316	4083832	76.5648
Chittagong	4706699	1696843	309436	810289	161022	114606	66578	329666	396244	3488440	74.1165
Sylhet	1529214	556908	126366	196160	61828	36379	56203	117789	173992	1151633	75.3088
Rangpur	3473030	1394698	126257	605800	61357	104076	197319	265816	463135	2755323	79.3348
Mymensingh	2206792	986183	105354	303204	54802	57720	78167	123687	201854	1709117	77.4480

 
