   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3991711	1700131	279026	589095	100437	63718	106621	331184	437805	3170212	79.4199
Khulna	3377075	1353942	232192	553859	91619	65307	80614	311077	391691	2688610	79.6136
Barisal	1568531	554235	66999	334763	46945	42852	40154	76054	116208	1162002	74.0822
Dhaka	5145450	2123096	410936	668498	154094	88583	65746	392305	458051	3903258	75.8584
Chittagong	4524035	1652631	288944	773349	153066	78668	46190	303467	349657	3296315	72.8623
Sylhet	1438665	543014	127071	191475	59067	24032	38869	91207	130076	1074735	74.7036
Rangpur	3378424	1444853	115157	549772	55274	60244	166072	261861	427933	2653233	78.5346
Mymensingh	2163226	1010696	95003	275148	54430	40079	64199	120346	184545	1659901	76.7327

 
