   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3768454	1661400	207220	456838	82635	56572	81445	304520	385965	2850630	75.6445
Khulna	3268983	1364482	190767	461127	85978	50902	62342	268240	330582	2483838	75.9820
Barisal	1523249	570524	53499	232661	48213	26946	29262	81921	111183	1043026	68.4738
Dhaka	4938314	2016140	317970	469821	136228	60190	37030	360185	397215	3397564	68.8001
Chittagong	4228141	1430865	205405	555389	129423	41145	24935	259089	284024	2646251	62.5866
Sylhet	1346645	454803	97239	147170	53330	15680	19994	62363	82357	850579	63.1628
Rangpur	3231532	1429319	85076	386738	47328	58062	127718	254560	382278	2388801	73.9216
Mymensingh	2125126	959017	64584	190042	47661	31612	43891	127055	170946	1463862	68.8835

 
