   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4130019	1650583	349280	617206	96583	145874	120506	351590	472096	3331622	80.6684
Khulna	3430017	1273061	274955	569491	81391	129467	84794	330160	414954	2743319	79.9797
Barisal	1617912	572339	75893	348770	50485	82042	55476	80323	135799	1265328	78.2075
Dhaka	5379966	2087726	467561	706888	159633	205618	107134	417131	524265	4151691	77.1695
Chittagong	4930208	1772055	331181	838294	173632	180246	78566	338383	416949	3712357	75.2982
Sylhet	1621789	594994	128006	219242	57579	64472	61240	138399	199639	1263932	77.9344
Rangpur	3541322	1367113	140781	640485	63947	152891	191735	257417	449152	2814369	79.4723
Mymensingh	2225579	980944	108403	314141	52824	97088	77374	116962	194336	1747736	78.5295

 
