   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:09
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3750274	1683809	214641	426179	81410	45616	79177	299091	378268	2829923	75.4591
Khulna	3248173	1367130	193397	440194	84116	46156	60285	262811	323096	2454089	75.5529
Barisal	1515747	568367	55258	215723	47010	25744	28407	81187	109594	1021696	67.4054
Dhaka	4919219	2008310	328050	452557	133507	53051	34511	356704	391215	3366690	68.4395
Chittagong	4203533	1421290	208422	533364	129987	38928	23235	252947	276182	2608173	62.0472
Sylhet	1341002	449617	101385	140868	53730	14291	18647	60271	78918	838809	62.5509
Rangpur	3186925	1447673	90684	353624	47277	42401	123927	251835	375762	2357421	73.9716
Mymensingh	2116480	961417	67361	176858	46698	25388	42082	126093	168175	1445897	68.3161

 
