   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3846281	1660633	233322	525192	92993	53521	94599	310605	405204	2970865	77.2399
Khulna	3336857	1320665	204736	523962	92260	44814	73222	292489	365711	2552148	76.4836
Barisal	1538107	540167	57364	294816	44153	24580	35038	72936	107974	1069054	69.5045
Dhaka	5011917	2026969	351234	580022	146328	60466	50023	370022	420045	3585064	71.5308
Chittagong	4442740	1548015	250555	694841	144103	53437	38532	283595	322127	3013078	67.8203
Sylhet	1394391	500116	111692	171440	57293	17469	32397	78479	110876	968886	69.4845
Rangpur	3313276	1423925	99714	484816	51250	52960	146312	251386	397698	2510363	75.7668
Mymensingh	2129267	983339	78311	226007	47678	29564	54323	116029	170352	1535251	72.1023

 
