   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3972646	1699079	272443	584290	97838	54920	104217	327326	431543	3140113	79.0434
Khulna	3371919	1355421	229217	548985	89744	56550	78919	311420	390339	2670256	79.1910
Barisal	1565187	551701	66324	332209	45447	38945	39712	75334	115046	1149672	73.4527
Dhaka	5133557	2112613	403112	656173	148991	77156	62603	387709	450312	3848357	74.9647
Chittagong	4507339	1638221	283605	762752	148892	72863	44522	299863	344385	3250718	72.1206
Sylhet	1433745	538965	124640	189340	57988	21872	37514	88885	126399	1059204	73.8767
Rangpur	3364903	1447820	112340	540368	53247	52510	162289	258646	420935	2627220	78.0771
Mymensingh	2158431	1012748	97000	272293	48689	36229	62446	119089	181535	1648494	76.3746

 
