   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4115286	1643792	341544	616966	94526	137595	119736	347877	467613	3302036	80.2383
Khulna	3416550	1270423	270755	566086	80089	124398	84601	326948	411549	2723300	79.7091
Barisal	1613246	570693	75592	348343	49240	77483	54735	79103	133838	1255189	77.8052
Dhaka	5353968	2073468	461623	696241	155305	193503	103803	411009	514812	4094952	76.4844
Chittagong	4910613	1761678	328676	834284	169568	167618	77076	336724	413800	3675624	74.8506
Sylhet	1612394	589715	126852	217106	58214	61274	61015	136383	197398	1250559	77.5591
Rangpur	3520350	1362039	137032	635682	61269	144854	190197	254353	444550	2785426	79.1236
Mymensingh	2218674	977117	107651	312373	51318	90608	76875	115927	192802	1731869	78.0587

 
