   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4052523	1703100	285126	602800	104721	86157	120846	352780	473626	3255530	80.3334
Khulna	3397202	1322735	236809	561716	92196	86892	89503	340585	430088	2730436	80.3731
Barisal	1587394	554190	68228	347812	49421	54687	48848	80112	128960	1203298	75.8034
Dhaka	5247300	2146269	424105	698862	168152	120390	84486	417892	502378	4060156	77.3761
Chittagong	4579431	1682792	295994	800204	159577	97955	57355	322327	379682	3416204	74.5989
Sylhet	1474076	553180	127972	195920	61131	29662	49774	105740	155514	1123379	76.2090
Rangpur	3433963	1429885	118183	580649	59761	80747	191596	273047	464643	2733868	79.6126
Mymensingh	2193911	1003960	101077	298240	55987	47864	74756	126987	201743	1708871	77.8915

 
