   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4140994	1686564	327843	622906	103485	119286	130291	371619	501910	3361994	81.1881
Khulna	3477886	1296537	258784	577992	88926	111376	90259	360762	451021	2784636	80.0669
Barisal	1621737	562334	73585	358987	52306	70991	55950	83291	139241	1257444	77.5369
Dhaka	5406249	2124860	454244	720796	171582	174890	111301	440880	552181	4198553	77.6611
Chittagong	4809324	1741339	322420	839023	170556	132627	72714	344157	416871	3622836	75.3294
Sylhet	1575439	571213	128632	206745	65346	46092	60430	128275	188705	1206733	76.5966
Rangpur	3550542	1400880	133957	634829	64404	122880	206183	275986	482169	2839119	79.9630
Mymensingh	2243124	991923	107681	320224	56228	71937	83197	128606	211803	1759796	78.4529

 
