   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4171557	1689584	330053	629667	104933	127372	131228	376998	508226	3389835	81.2607
Khulna	3477931	1295864	256850	580698	90565	119299	90771	366411	457182	2800458	80.5208
Barisal	1629723	568407	75443	362656	54061	74052	57082	84852	141934	1276553	78.3294
Dhaka	5427071	2125604	454260	724486	175210	187812	115604	448261	563865	4231237	77.9654
Chittagong	4837262	1763553	329549	852272	176280	141764	75000	348405	423405	3686823	76.2171
Sylhet	1589302	579063	130517	215090	66964	50595	61551	131439	192990	1235219	77.7208
Rangpur	3573310	1397372	135434	639214	66139	134818	208775	279281	488056	2861033	80.0667
Mymensingh	2254155	994707	108597	323959	57371	79959	84536	129937	214473	1779066	78.9239

 
