   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4155185	1665709	356796	617392	100346	159911	121364	358539	479903	3380057	81.3455
Khulna	3445339	1272718	277957	570784	83326	136306	84938	336204	421142	2762233	80.1730
Barisal	1626004	577075	76719	347282	52294	88024	56335	81882	138217	1279611	78.6967
Dhaka	5423882	2097402	470477	718362	164745	222504	113572	427606	541178	4214668	77.7057
Chittagong	4993683	1798561	337549	846889	181867	204257	82167	345016	427183	3796306	76.0222
Sylhet	1635004	603400	128460	222589	57470	70440	62469	142693	205162	1287521	78.7473
Rangpur	3568248	1381993	145112	626119	67204	166717	193548	262340	455888	2843033	79.6759
Mymensingh	2239938	986710	108207	315593	53948	105740	78140	118652	196792	1766990	78.8857

 
