   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4095167	1638812	331189	610353	95044	129155	120365	346489	466854	3271407	79.8846
Khulna	3416793	1268395	263518	560737	84242	120157	86161	327157	413318	2710367	79.3249
Barisal	1592330	561883	74636	345195	47854	71115	53268	76957	130225	1230908	77.3023
Dhaka	5317823	2038530	442753	683816	154949	183677	109851	410143	519994	4023719	75.6648
Chittagong	4841949	1747011	323843	835034	169838	149980	75042	335312	410354	3636060	75.0950
Sylhet	1595635	578798	126189	214405	60392	55650	60590	133128	193718	1229152	77.0322
Rangpur	3491917	1353459	131579	621941	58609	135164	190436	252968	443404	2744156	78.5859
Mymensingh	2218942	971625	108236	314148	51500	84814	77575	117283	194858	1725181	77.7479

 
