   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4060184	1674892	302379	600918	100385	101059	124100	351250	475350	3254983	80.1684
Khulna	3410368	1289367	244648	558614	86310	96665	87269	339162	426431	2702035	79.2300
Barisal	1596736	552196	69227	346452	47810	60472	50399	77810	128209	1204366	75.4267
Dhaka	5322997	2106007	445194	689509	156665	140894	93187	414038	507225	4045494	76.0003
Chittagong	4692739	1685357	304009	802290	158255	111366	65168	326718	391886	3453163	73.5852
Sylhet	1523615	554469	125151	194034	60900	35319	54932	115326	170258	1140131	74.8306
Rangpur	3464504	1392932	123863	601312	59589	100294	193219	263101	456320	2734310	78.9236
Mymensingh	2203151	982763	103089	299486	53479	56115	76696	122486	199182	1694114	76.8950

 
