   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4015054	1698431	281808	595236	101306	71977	112044	339911	451955	3200713	79.7178
Khulna	3390656	1344392	230823	556292	89827	73134	84177	325149	409326	2703794	79.7425
Barisal	1574121	551934	67088	339161	46976	46912	44168	78302	122470	1174541	74.6157
Dhaka	5169545	2126610	412648	675735	157371	98377	74897	402206	477103	3947844	76.3673
Chittagong	4525365	1661562	290149	782711	154164	83664	50894	311103	361997	3334247	73.6791
Sylhet	1450222	545022	127035	190857	58822	25916	44558	98581	143139	1090791	75.2154
Rangpur	3399176	1435819	115168	562099	55315	65738	175798	265168	440966	2675105	78.6986
Mymensingh	2171581	1006407	97708	281148	55230	42622	67934	122864	190798	1673913	77.0827

 
