   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3852616	1655328	222451	535151	101994	64470	88459	322446	410905	2990299	77.6174
Khulna	3336391	1357842	204501	536756	98101	55101	71223	291940	363163	2615464	78.3920
Barisal	1545173	558134	56924	299554	51928	27818	34442	83719	118161	1112519	71.9996
Dhaka	5057131	2040327	351017	578439	155138	71153	44844	380450	425294	3621368	71.6091
Chittagong	4349194	1492513	234251	659352	147697	50675	30735	278932	309667	2894155	66.5446
Sylhet	1379000	483662	105163	171735	59144	17075	26295	73421	99716	936495	67.9112
Rangpur	3288014	1411451	90445	507181	58138	65807	137315	266504	403819	2536841	77.1542
Mymensingh	2159837	973646	74333	241232	53452	35605	49957	127777	177734	1556002	72.0426

 
