   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4111206	1680763	319483	618018	102710	112548	128373	363775	492148	3325670	80.8928
Khulna	3453937	1297365	253094	573559	88039	105779	89102	352947	442049	2759885	79.9055
Barisal	1611477	559017	71925	356741	51034	67195	54033	81188	135221	1241133	77.0184
Dhaka	5358042	2117844	449844	712778	167182	163661	105183	429637	534820	4146129	77.3814
Chittagong	4766412	1725975	317980	828332	166049	125213	69764	337553	407317	3570866	74.9173
Sylhet	1554741	563339	126997	202035	63656	41799	58821	123319	182140	1179966	75.8947
Rangpur	3522955	1403384	131739	627085	63880	113852	203258	272511	475769	2815709	79.9246
Mymensingh	2220099	986816	105740	315291	55738	64091	80978	126091	207069	1734745	78.1382

 
