   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4051199	1674122	301436	598798	100396	99926	123399	348093	471492	3246170	80.1286
Khulna	3405485	1290404	244242	555193	86285	95922	86681	336774	423455	2695501	79.1518
Barisal	1596139	552773	69224	344375	47571	59759	49888	77353	127241	1200943	75.2405
Dhaka	5308064	2100414	442556	683509	155997	138444	91099	410113	501212	4022132	75.7740
Chittagong	4684220	1681129	303317	798263	157997	110422	63995	324528	388523	3439651	73.4306
Sylhet	1520251	552805	125444	193720	60990	34857	54101	113864	167965	1135781	74.7101
Rangpur	3459124	1392880	124041	595494	59213	98941	191713	261698	453411	2723980	78.7477
Mymensingh	2195705	982189	103330	296858	53576	55387	75892	121944	197836	1689176	76.9309

 
