   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4185137	1693871	328483	634208	105483	130924	131809	380830	512639	3405608	81.3739
Khulna	3487592	1298739	256564	582425	90937	122100	91262	369899	461161	2811926	80.6266
Barisal	1631837	570649	75663	364749	54689	75337	57557	85453	143010	1284097	78.6903
Dhaka	5441641	2127490	454193	728185	176136	192134	118899	452909	571808	4249946	78.1004
Chittagong	4853923	1772986	331201	857843	178404	147089	76683	351451	428134	3715657	76.5496
Sylhet	1599996	584302	128602	218336	65123	52120	62259	134567	196826	1245309	77.8320
Rangpur	3588008	1398051	136704	640639	65977	137997	210124	280408	490532	2869900	79.9859
Mymensingh	2259531	995976	108382	324874	57772	83890	85578	130783	216361	1787255	79.0985

 
