   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4020346	1699407	283548	598109	101777	74436	115063	343944	459007	3216284	80.0002
Khulna	3397713	1345845	231366	558752	91736	76309	86001	329004	415005	2719013	80.0248
Barisal	1575455	552386	67772	341261	47978	49205	45400	79144	124544	1183146	75.0987
Dhaka	5180998	2126177	413017	679710	160416	102989	75722	405814	481536	3963845	76.5074
Chittagong	4529366	1664863	291535	789091	155392	86619	52916	314420	367336	3354836	74.0686
Sylhet	1454440	546241	126893	192455	59117	26781	46821	100450	147271	1098758	75.5451
Rangpur	3406120	1435059	116304	566530	55619	67532	182456	268834	451290	2692334	79.0440
Mymensingh	2175919	1008184	98889	288791	53394	43413	70827	124045	194872	1687543	77.5554

 
