   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3959347	1698037	271884	578514	97425	49140	103037	324634	427671	3122671	78.8683
Khulna	3362410	1356279	229340	547306	89650	47201	78108	308574	386682	2656458	79.0046
Barisal	1553172	553373	66419	326831	45351	35767	39209	75020	114229	1141970	73.5250
Dhaka	5120424	2109965	402647	650224	148765	68321	60658	384915	445573	3825495	74.7105
Chittagong	4500394	1630130	281652	755036	148406	68918	43721	289533	333254	3217396	71.4914
Sylhet	1434187	536712	124988	187769	58281	20299	36997	87420	124417	1052466	73.3842
Rangpur	3355437	1449122	112123	534997	53206	47362	160390	257331	417721	2614531	77.9192
Mymensingh	2153076	1014873	97210	263749	51595	31686	61241	111754	172995	1632108	75.8035

 
