   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4154444	1687075	330288	624421	103606	122342	130548	373837	504385	3372117	81.1689
Khulna	3467851	1292093	253809	576228	89640	115229	90398	362776	453174	2780173	80.1699
Barisal	1626467	563473	73650	360347	52440	71762	56601	84068	140669	1262341	77.6125
Dhaka	5406550	2121133	450819	718607	171468	180298	112889	443199	556088	4198413	77.6542
Chittagong	4825107	1749482	323930	843588	172357	135826	73453	345994	419447	3644630	75.5347
Sylhet	1580609	573521	129074	207902	65828	47630	60775	129495	190270	1214225	76.8201
Rangpur	3560701	1399871	133555	636055	64621	126758	207133	277190	484323	2845183	79.9051
Mymensingh	2247773	994355	107533	321444	56234	75389	84218	129213	213431	1768386	78.6728

 
