"Source","File","Variable","Description"
"DHS2011","BR61","caseid","case identification"
"DHS2011","BR61","bidx","birth column number"
"DHS2011","BR61","v000","country code and phase"
"DHS2011","BR61","v001","cluster number"
"DHS2011","BR61","v002","household number"
"DHS2011","BR61","v003","respondent's line number"
"DHS2011","BR61","v004","ultimate area unit"
"DHS2011","BR61","v005","women's individual sample weight (6 decimals)"
"DHS2011","BR61","v006","month of interview"
"DHS2011","BR61","v007","year of interview"
"DHS2011","BR61","v008","date of interview (cmc)"
"DHS2011","BR61","v009","respondent's month of birth"
"DHS2011","BR61","v010","respondent's year of birth"
"DHS2011","BR61","v011","date of birth (cmc)"
"DHS2011","BR61","v012","respondent's current age"
"DHS2011","BR61","v013","age in 5-year groups"
"DHS2011","BR61","v014","completeness of age information"
"DHS2011","BR61","v015","result of individual interview"
"DHS2011","BR61","v016","day of interview"
"DHS2011","BR61","v017","cmc start of calendar"
"DHS2011","BR61","v018","row of month of interview"
"DHS2011","BR61","v019","length of calendar"
"DHS2011","BR61","v019a","number of calendar columns"
"DHS2011","BR61","v020","ever-married sample"
"DHS2011","BR61","v021","primary sampling unit"
"DHS2011","BR61","v022","sample strata for sampling errors"
"DHS2011","BR61","v023","stratification used in sample design"
"DHS2011","BR61","v024","region"
"DHS2011","BR61","v025","type of place of residence"
"DHS2011","BR61","v026","de facto place of residence"
"DHS2011","BR61","v027","number of visits"
"DHS2011","BR61","v028","interviewer identification"
"DHS2011","BR61","v029","keyer identification"
"DHS2011","BR61","v030","field supervisor"
"DHS2011","BR61","v031","field editor"
"DHS2011","BR61","v032","office editor"
"DHS2011","BR61","v034","line number of husband"
"DHS2011","BR61","v040","cluster altitude in meters"
"DHS2011","BR61","v042","household selected for hemoglobin"
"DHS2011","BR61","v044","na - selected for domestic violence module"
"DHS2011","BR61","v101","region"
"DHS2011","BR61","v102","type of place of residence"
"DHS2011","BR61","v103","na - childhood place of residence"
"DHS2011","BR61","v104","na - years lived in place of residence"
"DHS2011","BR61","v105","na - type of place of previous residence"
"DHS2011","BR61","v106","highest educational level"
"DHS2011","BR61","v107","highest year of education"
"DHS2011","BR61","v113","source of drinking water"
"DHS2011","BR61","v115","time to get to water source"
"DHS2011","BR61","v116","type of toilet facility"
"DHS2011","BR61","v119","household has: electricity"
