dir,Names,Metadata,Report
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,thana_Name,Upazila/Thana,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Shukhi,Distribution_Oral Pill (Cycle)_Shukhi (Estrogen and progestin),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Apon,Distribution_Oral Pill (Cycle)_Apon,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Pill_total,Distribution_Oral Pill (Cycle)_Total,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Condom,Distribution_Condom (Nirapad) (Pieces),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Inj_vial,Distribution_Injectable_Vial,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Inj_siringe,Distribution_Injectable_Syringe,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,IUD_normal,Distribution_IUD_New_IUD Normal,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,IUD_partum,Distribution_IUD_New_IUD Postpartum,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,IUD_total,Distribution_IUD_New_IUD Total,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,IUD_remove,Distribution_IUD_Remove,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Imp_normal,Distribution_Implant_New_Implanon,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Imp_Jadel,Distribution_Implant_New_Jadel,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Imp_total,Distribution_Implant_New_Total,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,implant_remove,Distribution_Implant_Remove,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,ecp,Distribution_ECP,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,misoprostol,Distribution_Misoprostol (Dose),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,mrm_pack,Distribution_MRM (Pack),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,inj_mgs4,Distribution_Injection MgS04,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,mnp_saset,Distribution_MNP (Saset),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,ifa_number,Distribution_IFO (Number),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,sanitary_pad,Distribution_Sanitary Pad (Number),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,per_male,Performed_Permanant Method_Male (Number),GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,femalenormal,Performed_Permanant Method_Female (Number)_Normal,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
