"DataId","Indicator","SurveyId","IsPreferred","Value","SDRID","Precision","RegionId","SurveyYearLabel","SurveyType","SurveyYear","IndicatorOrder","DHS_CountryCode","CILow","CountryName","IndicatorType","CharacteristicId","CharacteristicCategory","IndicatorId","CharacteristicOrder","CharacteristicLabel","ByVariableLabel","DenominatorUnweighted","DenominatorWeighted","CIHigh","IsTotal","ByVariableId"
"330206","Age specific fertility rate: 10-14","BD2011DHS","1","9","FEFRTRWA10","0","BDDHS2011360001","2011","DHS","2011","11763005","BD","","Bangladesh","I","360001","Region","FE_FRTR_W_A10","1360001","Barisal","","","","","0","0"
"326547","Age specific fertility rate: 10-14","BD2011DHS","1","5","FEFRTRWA10","0","BDDHS2011360002","2011","DHS","2011","11763005","BD","","Bangladesh","I","360002","Region","FE_FRTR_W_A10","1360002","Chittagong/Sylhet","","","","","0","0"
"327778","Age specific fertility rate: 10-14","BD2011DHS","1","6","FEFRTRWA10","0","BDDHS2011360003","2011","DHS","2011","11763005","BD","","Bangladesh","I","360003","Region","FE_FRTR_W_A10","1360003","..Chittagong","","","","","0","0"
"330193","Age specific fertility rate: 10-14","BD2011DHS","1","1","FEFRTRWA10","0","BDDHS2011360004","2011","DHS","2011","11763005","BD","","Bangladesh","I","360004","Region","FE_FRTR_W_A10","1360004","..Sylhet","","","","","0","0"
"334198","Age specific fertility rate: 10-14","BD2011DHS","1","3","FEFRTRWA10","0","BDDHS2011360005","2011","DHS","2011","11763005","BD","","Bangladesh","I","360005","Region","FE_FRTR_W_A10","1360005","Dhaka","","","","","0","0"
"2239109","Age specific fertility rate: 10-14","BD2011DHS","1","2","FEFRTRWA10","0","BDDHS2011360006","2011","DHS","2011","11763005","BD","","Bangladesh","I","360006","Region","FE_FRTR_W_A10","1360006","Khulna","","","","","0","0"
"330968","Age specific fertility rate: 10-14","BD2011DHS","1","8","FEFRTRWA10","0","BDDHS2011360007","2011","DHS","2011","11763005","BD","","Bangladesh","I","360007","Region","FE_FRTR_W_A10","1360007","Rajshahi/Rangpur","","","","","0","0"
"335000","Age specific fertility rate: 10-14","BD2011DHS","1","11","FEFRTRWA10","0","BDDHS2011360008","2011","DHS","2011","11763005","BD","","Bangladesh","I","360008","Region","FE_FRTR_W_A10","1360008","..Rangpur","","","","","0","0"
"333275","Age specific fertility rate: 10-14","BD2011DHS","1","6","FEFRTRWA10","0","BDDHS2011360009","2011","DHS","2011","11763005","BD","","Bangladesh","I","360009","Region","FE_FRTR_W_A10","1360009","..Rajshahi","","","","","0","0"
"330207","Age specific fertility rate: 15-19","BD2011DHS","1","115","FEFRTRWA15","0","BDDHS2011360001","2011","DHS","2011","11763010","BD","","Bangladesh","I","360001","Region","FE_FRTR_W_A15","1360001","Barisal","","","","","0","0"
"334174","Age specific fertility rate: 15-19","BD2011DHS","1","109","FEFRTRWA15","0","BDDHS2011360002","2011","DHS","2011","11763010","BD","","Bangladesh","I","360002","Region","FE_FRTR_W_A15","1360002","Chittagong/Sylhet","","","","","0","0"
"327779","Age specific fertility rate: 15-19","BD2011DHS","1","116","FEFRTRWA15","0","BDDHS2011360003","2011","DHS","2011","11763010","BD","","Bangladesh","I","360003","Region","FE_FRTR_W_A15","1360003","..Chittagong","","","","","0","0"
"330203","Age specific fertility rate: 15-19","BD2011DHS","1","89","FEFRTRWA15","0","BDDHS2011360004","2011","DHS","2011","11763010","BD","","Bangladesh","I","360004","Region","FE_FRTR_W_A15","1360004","..Sylhet","","","","","0","0"
"334199","Age specific fertility rate: 15-19","BD2011DHS","1","117","FEFRTRWA15","0","BDDHS2011360005","2011","DHS","2011","11763010","BD","","Bangladesh","I","360005","Region","FE_FRTR_W_A15","1360005","Dhaka","","","","","0","0"
"2239110","Age specific fertility rate: 15-19","BD2011DHS","1","116","FEFRTRWA15","0","BDDHS2011360006","2011","DHS","2011","11763010","BD","","Bangladesh","I","360006","Region","FE_FRTR_W_A15","1360006","Khulna","","","","","0","0"
"330969","Age specific fertility rate: 15-19","BD2011DHS","1","133","FEFRTRWA15","0","BDDHS2011360007","2011","DHS","2011","11763010","BD","","Bangladesh","I","360007","Region","FE_FRTR_W_A15","1360007","Rajshahi/Rangpur","","","","","0","0"
"335001","Age specific fertility rate: 15-19","BD2011DHS","1","143","FEFRTRWA15","0","BDDHS2011360008","2011","DHS","2011","11763010","BD","","Bangladesh","I","360008","Region","FE_FRTR_W_A15","1360008","..Rangpur","","","","","0","0"
"333276","Age specific fertility rate: 15-19","BD2011DHS","1","125","FEFRTRWA15","0","BDDHS2011360009","2011","DHS","2011","11763010","BD","","Bangladesh","I","360009","Region","FE_FRTR_W_A15","1360009","..Rajshahi","","","","","0","0"
"330199","Age specific fertility rate: 20-24","BD2011DHS","1","155","FEFRTRWA20","0","BDDHS2011360001","2011","DHS","2011","11763020","BD","","Bangladesh","I","360001","Region","FE_FRTR_W_A20","1360001","Barisal","","","","","0","0"
"326539","Age specific fertility rate: 20-24","BD2011DHS","1","189","FEFRTRWA20","0","BDDHS2011360002","2011","DHS","2011","11763020","BD","","Bangladesh","I","360002","Region","FE_FRTR_W_A20","1360002","Chittagong/Sylhet","","","","","0","0"
"327772","Age specific fertility rate: 20-24","BD2011DHS","1","191","FEFRTRWA20","0","BDDHS2011360003","2011","DHS","2011","11763020","BD","","Bangladesh","I","360003","Region","FE_FRTR_W_A20","1360003","..Chittagong","","","","","0","0"
"330194","Age specific fertility rate: 20-24","BD2011DHS","1","185","FEFRTRWA20","0","BDDHS2011360004","2011","DHS","2011","11763020","BD","","Bangladesh","I","360004","Region","FE_FRTR_W_A20","1360004","..Sylhet","","","","","0","0"
"334208","Age specific fertility rate: 20-24","BD2011DHS","1","148","FEFRTRWA20","0","BDDHS2011360005","2011","DHS","2011","11763020","BD","","Bangladesh","I","360005","Region","FE_FRTR_W_A20","1360005","Dhaka","","","","","0","0"
"2239111","Age specific fertility rate: 20-24","BD2011DHS","1","126","FEFRTRWA20","0","BDDHS2011360006","2011","DHS","2011","11763020","BD","","Bangladesh","I","360006","Region","FE_FRTR_W_A20","1360006","Khulna","","","","","0","0"
"330956","Age specific fertility rate: 20-24","BD2011DHS","1","131","FEFRTRWA20","0","BDDHS2011360007","2011","DHS","2011","11763020","BD","","Bangladesh","I","360007","Region","FE_FRTR_W_A20","1360007","Rajshahi/Rangpur","","","","","0","0"
"335003","Age specific fertility rate: 20-24","BD2011DHS","1","128","FEFRTRWA20","0","BDDHS2011360008","2011","DHS","2011","11763020","BD","","Bangladesh","I","360008","Region","FE_FRTR_W_A20","1360008","..Rangpur","","","","","0","0"
"333278","Age specific fertility rate: 20-24","BD2011DHS","1","134","FEFRTRWA20","0","BDDHS2011360009","2011","DHS","2011","11763020","BD","","Bangladesh","I","360009","Region","FE_FRTR_W_A20","1360009","..Rajshahi","","","","","0","0"
