"TotalPages","Data.DataId","Data.Indicator","Data.SurveyId","Data.IsPreferred","Data.Value","Data.SDRID","Data.Precision","Data.RegionId","Data.SurveyYearLabel","Data.SurveyType","Data.SurveyYear","Data.IndicatorOrder","Data.DHS_CountryCode","Data.CILow","Data.CountryName","Data.IndicatorType","Data.CharacteristicId","Data.CharacteristicCategory","Data.IndicatorId","Data.CharacteristicOrder","Data.CharacteristicLabel","Data.ByVariableLabel","Data.DenominatorUnweighted","Data.DenominatorWeighted","Data.CIHigh","Data.IsTotal","Data.ByVariableId","RecordsReturned","Page","RecordCount"
2,45371,"Age specific fertility rate: 10-14","BD2011DHS",1,5,"FEFRTRWA10",0,"",2011,"DHS",2011,11763005,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A10",0,"Total","","","","",1,0,1000,1,1667
2,45372,"Age specific fertility rate: 15-19","BD2011DHS",1,118,"FEFRTRWA15",0,"",2011,"DHS",2011,11763010,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A15",0,"Total","","","","",1,0,1000,1,1667
2,45377,"Age specific fertility rate: 20-24","BD2011DHS",1,153,"FEFRTRWA20",0,"",2011,"DHS",2011,11763020,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A20",0,"Total","","","","",1,0,1000,1,1667
2,45378,"Age specific fertility rate: 25-29","BD2011DHS",1,107,"FEFRTRWA25",0,"",2011,"DHS",2011,11763030,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A25",0,"Total","","","","",1,0,1000,1,1667
2,45379,"Age specific fertility rate: 30-34","BD2011DHS",1,56,"FEFRTRWA30",0,"",2011,"DHS",2011,11763040,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A30",0,"Total","","","","",1,0,1000,1,1667
2,45380,"Age specific fertility rate: 35-39","BD2011DHS",1,21,"FEFRTRWA35",0,"",2011,"DHS",2011,11763050,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A35",0,"Total","","","","",1,0,1000,1,1667
2,45373,"Age specific fertility rate: 40-44","BD2011DHS",1,6,"FEFRTRWA40",0,"",2011,"DHS",2011,11763060,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A40",0,"Total","","","","",1,0,1000,1,1667
2,45387,"Age specific fertility rate: 45-49","BD2011DHS",1,3,"FEFRTRWA45",0,"",2011,"DHS",2011,11763070,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_A45",0,"Total","","","","",1,0,1000,1,1667
2,45382,"Total fertility rate 15-49","BD2011DHS",1,2.3,"FEFRTRWTFR",1,"",2011,"DHS",2011,11763080,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_TFR",0,"Total","","","","",1,0,1000,1,1667
2,45388,"Total fertility rate 15-44","BD2011DHS",1,2.3,"FEFRTRWTF4",1,"",2011,"DHS",2011,11763090,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_TF4",0,"Total","","","","",1,0,1000,1,1667
2,45392,"General fertility rate","BD2011DHS",1,92,"FEFRTRWGFR",0,"",2011,"DHS",2011,11763100,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_GFR",0,"Total","","","","",1,0,1000,1,1667
2,45393,"Crude birth rate","BD2011DHS",1,22.6,"FEFRTRWCBR",1,"",2011,"DHS",2011,11763110,"BD","","Bangladesh","I",1000,"Total","FE_FRTR_W_CBR",0,"Total","","","","",1,0,1000,1,1667
2,486468,"Percentage of women currently pregnant","BD2011DHS",1,5.1,"FEFRTYWPRG",1,"",2011,"DHS",2011,11803020,"BD","","Bangladesh","I",1000,"Total","FE_FRTY_W_PRG",0,"Total","","20676","20797","",1,0,1000,1,1667
2,499757,"Number of women age 15-49","BD2011DHS",1,20797,"FEFRTYWNPG",0,"",2011,"DHS",2011,11803030,"BD","","Bangladesh","D",1000,"Total","FE_FRTY_W_NPG",0,"Total","","20676","","",1,0,1000,1,1667
2,305269,"Number of women age 15-49 (unweighted)","BD2011DHS",1,20676,"FEFRTYWUPG",0,"",2011,"DHS",2011,11803040,"BD","","Bangladesh","U",1000,"Total","FE_FRTY_W_UPG",0,"Total","","","20797","",1,0,1000,1,1667
2,45389,"Completed fertility of women age 40-49","BD2011DHS",1,4.2,"FEFRTYWMNC",1,"",2011,"DHS",2011,11803050,"BD","","Bangladesh","I",1000,"Total","FE_FRTY_W_MNC",0,"Total","","4016","3982","",1,0,1000,1,1667
2,45391,"Number of women age 40-49","BD2011DHS",1,3982,"FEFRTYWN49",0,"",2011,"DHS",2011,11803060,"BD","","Bangladesh","D",1000,"Total","FE_FRTY_W_N49",0,"Total","","4016","","",1,0,1000,1,1667
2,45390,"Number of women age 40-49 (unweighted)","BD2011DHS",1,4016,"FEFRTYWU49",0,"",2011,"DHS",2011,11803070,"BD","","Bangladesh","U",1000,"Total","FE_FRTY_W_U49",0,"Total","","","3982","",1,0,1000,1,1667
2,45683,"Age specific fertility rate: 10-14 (five year periods)","BD2011DHS",1,7,"FEFRTTWA10",0,"",2011,"DHS",2011,11833005,"BD","","Bangladesh","I",13000,"Five year periods","FE_FRTT_W_A10",80000,"0-4","","","","",1,0,1000,1,1667
2,45680,"Age specific fertility rate: 15-19 (five year periods)","BD2011DHS",1,128,"FEFRTTWA15",0,"",2011,"DHS",2011,11833010,"BD","","Bangladesh","I",13000,"Five year periods","FE_FRTT_W_A15",80000,"0-4","","","","",1,0,1000,1,1667
2,45681,"Age specific fertility rate: 20-24 (five year periods)","BD2011DHS",1,161,"FEFRTTWA20",0,"",2011,"DHS",2011,11833020,"BD","","Bangladesh","I",13000,"Five year periods","FE_FRTT_W_A20",80000,"0-4","","","","",1,0,1000,1,1667
2,45682,"Age specific fertility rate: 25-29 (five year periods)","BD2011DHS",1,115,"FEFRTTWA25",0,"",2011,"DHS",2011,11833030,"BD","","Bangladesh","I",13000,"Five year periods","FE_FRTT_W_A25",80000,"0-4","","","","",1,0,1000,1,1667
2,45684,"Age specific fertility rate: 30-34 (five year periods)","BD2011DHS",1,65,"FEFRTTWA30",0,"",2011,"DHS",2011,11833040,"BD","","Bangladesh","I",13000,"Five year periods","FE_FRTT_W_A30",80000,"0-4","","","","",1,0,1000,1,1667
