thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Mirzapur	4387935	15499	4403434	3762952	134052	78896	7929	175	8104	248	4004	198	4202	192	3186	17111	2	44	13	63948	65	1358	3969	587	4353	5711
Nagarpur	3509524	15410	3524934	3070507	279296	173133	8262	1	8263	697	9105	1	9106	2480	2584	13959	146	4	0	0	0	896	1751	697	2446	3342
Bhuapur	3117994	10589	3128583	3571969	278084	140169	4279	0	4279	405	7179	0	7179	2732	1312	13570	0	0	0	0	26	1423	250	341	591	2014
Ghatail	6140172	12761	6152933	6559483	488542	284530	6011	5	6016	279	8311	600	8911	1481	2386	16389	1	0	0	0	13	3032	1054	420	1465	4497
Basail	1947188	4641	1951829	4789119	162057	98505	4734	22	4756	387	4472	293	4765	1267	1851	7314	0	11	0	54759	583	1381	2313	521	2833	4214
Tangail Sadar	4631361	14001	4645362	7856491	514316	282314	9488	377	9865	908	20407	315	20722	4579	5323	32502	10	0	0	0	0	9697	2801	4246	7042	16739
Kalihati	5549115	22746	5571861	6253328	709670	456807	9293	53	9346	743	11587	207	11794	5746	2899	21514	4	0	0	7554	357	1542	804	958	1753	3295
Modhupur	7176041	16406	7192447	4452963	567432	299100	4252	83	4335	717	7080	483	7563	2106	2676	24140	196	0	0	223468	882	3320	611	1256	1862	5182
Gopalpur	3000832	8913	3009745	3122013	369173	164755	5900	35	5935	841	4961	386	5347	1876	2716	18795	0	0	8	0	145	1921	475	1362	1837	3758
Shakhipur	3736168	12660	3748828	2491032	123178	74237	3406	10	3416	49	2809	99	2908	707	2406	17390	80	0	0	847	143	2255	1031	865	1893	4148
Delduar	2873625	6163	2879788	4480467	183963	98778	5703	3	5706	442	5962	65	6027	1983	2506	8055	0	0	0	0	256	2016	958	312	1270	3286
