thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Fenchuganj	403739	4168	407907	935779	46716	25615	2587	37	2624	211	1938	23	1961	713	406	4546	0	0	0	0	0	676	1522	20	1540	2216
Gowainghat	1391077	16658	1407735	2959014	305750	196776	4335	1	4336	547	2976	37	3013	1047	7509	16013	104	0	109	7495	217	865	2933	0	2933	3798
Jakiganj	1442548	8358	1450906	5337636	161410	108825	3883	2	3885	426	4560	200	4760	1822	1625	5426	8	0	0	0	9	1563	1010	0	1010	2573
Jaintapur	914507	5626	920133	3072094	267713	161857	5482	39	5521	484	2556	12	2568	559	1838	8886	128	0	0	0	240	1036	1435	0	1435	2471
Balaganj	1655969	12284	1668253	4918915	265998	166718	3627	4	3631	795	5727	45	5772	2422	3243	10453	1	0	0	0	86	895	4277	0	4260	5155
Golapganj	1141598	7812	1149410	3599422	105796	58289	4394	5	4399	398	4396	31	4427	1942	2718	6011	18	0	0	0	3	848	2008	0	2008	2856
Sylhet Sadar	4418782	19636	4438418	7684401	796984	577181	10571	1077	11648	781	19757	406	20163	4249	3718	5707	15	0	0	0	257	8928	17658	7381	25028	33956
Biani Bazar	1094571	14146	1108717	2817074	87381	53291	8298	20	8318	408	1495	0	1495	433	795	3314	8	0	80	58788	398	811	700	207	907	1718
Kanaighat	1579072	12906	1591978	4504292	278721	171093	3550	13	3563	1086	2784	29	2813	894	3059	4403	0	0	0	310174	179	1794	1335	0	1334	3128
Biswanath	634945	4637	639582	1284151	64360	38074	3733	2	3735	141	3356	0	3356	1520	345	8117	0	77	0	15554	239	880	3476	0	3426	4306
Companiganj	982141	8587	990728	2319041	177981	108429	2567	3	2570	861	2966	110	3076	759	1518	3914	0	0	0	866	347	157	2270	0	2270	2427
South Shurma	1712979	33872	1746851	4178106	148724	103587	2580	6	2586	84	1753	1	1754	127	981	4365	29	0	0	0	98	1574	3983	2	3981	5555
