thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Sariakandi	1519496	9422	1528918	1941214	219628	116053	5666	24	5690	512	11822	253	12075	3925	3488	6329	0	0	0	0	19	3570	2063	0	2063	5633
Sherpur	3123704	5848	3129552	3486228	276174	139761	6283	4	6287	628	8968	135	9103	2944	4038	5237	0	0	0	0	11	1724	3946	354	4297	6021
Shibganj	3871315	8614	3879929	3836998	460806	280509	4461	33	4494	244	8998	216	9214	937	6349	8953	0	0	0	0	32	2937	3319	285	3604	6541
Dhunot	3292593	14382	3306975	3305198	391532	174477	5896	47	5943	404	7435	243	7678	1778	2776	6565	0	0	0	0	68	1398	1734	35	1763	3161
Dupchanchia	1356118	7808	1363926	1117068	144394	66581	4089	16	4105	244	7878	201	8079	2051	2201	6173	71	0	0	0	109	1511	1576	777	2353	3864
Nandigram	2483322	2924	2486246	1250076	82500	34437	2562	0	2562	54	3392	100	3492	585	1690	6700	0	0	0	1080	15	1358	1520	402	1922	3280
Adamdighi	1533173	9619	1542792	1700857	104600	46389	3909	47	3956	379	4333	0	4333	1090	2627	4477	15	0	1	0	24	1594	2119	42	2160	3754
Bogra Sadar	3580196	5753	3585949	8542377	437047	224904	9861	902	10763	907	23942	819	24761	5631	7204	2221	9	24	19	0	0	6790	3452	1913	5378	12168
Kahaloo	1931995	9587	1941582	2289949	121887	63204	3989	36	4025	168	11751	219	11970	2427	3329	6012	42	0	0	0	4	2290	830	0	829	3119
Gabtali	2699598	8532	2708130	4106227	454234	218203	3596	15	3611	360	11608	396	12004	4903	3935	5005	0	0	0	0	116	654	777	4	776	1430
Sonatola	2606984	7704	2614688	2838915	194095	94149	7048	55	7103	427	7106	0	7106	2978	2461	6288	0	0	0	0	15	1127	1035	145	1180	2307
Shajahanpur	3427536	6983	3434519	5732158	216682	100505	5203	5	5208	425	9653	81	9734	2964	4843	4688	0	0	0	0	28	6390	2805	246	3054	9444
