thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Mymensingh Sadar	7651258	44840	7696098	8180636	426218	256573	16033	759	16792	726	28229	118	28347	5676	2557	7111	0	0	0	0	0	22395	2598	2720	5244	27639
Trisal	5885406	15281	5900687	3627659	277273	155388	6056	3	6059	523	7232	1233	8465	2529	1597	10597	0	0	1	0	8	4107	604	0	599	4706
Fulbaria	5657701	25219	5682920	2367928	192622	117110	6889	15	6904	404	5571	105	5676	1115	273	409	0	0	0	0	0	3725	308	11	319	4044
Bhaluka	4581819	14161	4595980	3804158	221871	138888	11277	39	11316	888	7229	16	7245	1385	1045	5042	8	0	0	0	25	4048	1032	1274	2288	6336
Muktagacha	6496850	12212	6509062	4661784	289493	164880	6230	13	6243	232	7146	36	7182	942	1304	6963	0	0	0	0	3	4625	224	1	216	4841
Gafargaon	5264412	20518	5284930	5111788	260986	160493	8519	0	8519	1866	3934	65	3999	1402	2668	11773	0	0	0	0	0	2378	2033	0	2032	4410
Phulpur	6883537	22983	6906520	3149415	275406	153158	14518	7	14525	2481	15736	48	15784	4456	3250	9297	8	0	0	0	0	4677	2372	316	2675	7352
Gouripur	3426910	9008	3435918	2588193	252377	146592	6205	16	6221	831	5908	100	6008	1469	919	4016	13	0	0	0	4	1392	1673	0	1673	3065
Ishwarganj	6201302	5959	6207261	2688471	226273	122549	3646	4	3650	208	7514	19	7533	2088	1491	8445	37	0	0	0	52	1853	1410	6	1416	3269
Nandail	6903001	10184	6913185	1765812	344831	205987	8322	2	8324	694	5945	16	5961	1848	1534	10708	0	0	0	0	10	1883	586	5	589	2472
Haluaghat	4552145	7075	4559220	3151739	281801	144295	3792	3	3795	29	8369	54	8423	1	1091	4666	20	0	0	3402	468	1890	1197	649	1795	3685
Dhubaura	2139200	4935	2144135	2617481	191538	105338	2810	33	2843	345	2426	38	2464	634	1676	3702	13	0	0	7508	210	1502	707	0	707	2209
