thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Durgapur	1495590	3666	1499256	2339902	128908	57404	1193	0	1193	277	5546	98	5644	1418	2032	7690	124	0	0	137	131	112	2387	120	2507	2619
Poba (Sadar)	2108506	5225	2113731	4866158	539336	286268	2494	1	2495	97	4157	442	4599	317	3212	2626	0	0	0	0	0	117	2026	24	2048	2165
Mohanpur	1910011	2787	1912798	2371902	289301	153539	2007	1	2008	125	5522	217	5739	1402	2577	5739	0	0	0	0	65	451	1301	24	1326	1777
Puthiya	2005308	6376	2011684	3093542	208484	113512	1643	0	1643	151	4961	118	5079	1762	2435	5837	63	0	0	99	103	54	2495	486	2981	3035
Bagmara	5050302	8290	5058592	6661040	421420	207411	9120	101	9221	1027	10770	225	10995	1304	4743	7187	24	0	0	0	16	1843	4080	277	4357	6200
Charghat	2122022	4668	2126690	2641351	237640	100541	3274	59	3333	230	5168	0	5168	1359	3347	4910	9	0	0	0	91	212	2437	274	2710	2922
Boalia	1639132	10832	1649964	12746029	440576	257508	7304	614	7918	781	16826	90	16916	5931	8870	6556	227	0	0	158	0	31475	13081	2605	15681	47156
Tanore	2152005	6085	2158090	1781460	150263	84852	3992	38	4030	424	16171	0	16171	4741	2579	7413	160	32	0	0	0	919	4505	235	4740	5659
Godagari	2771463	10296	2781759	3833370	488977	254398	5555	83	5638	621	3598	600	4198	1407	5033	7603	32	8	0	0	0	624	3712	1165	4875	5499
Bagha	1667956	5037	1672993	3255871	288183	138130	1567	17	1584	163	5571	98	5669	2096	1715	3450	13	0	0	3228	100	279	4344	260	4521	4800
