thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Digholia	3233637	7727	3241364	9660780	664563	430931	6405	12	6417	10	8064	719	8783	1241	1672	7302	46	0	5	0	83	2753	2173	560	2720	5473
Dumuria	2908282	5865	2914147	3256530	261687	176438	8667	0	8667	156	11789	100	11889	1866	3901	8989	139	0	0	0	81	1864	4485	29	4510	6374
Khulna Sadar	5455931	2820	5458751	15353685	772691	366566	11370	2252	13622	762	10366	70	10436	1927	5936	1897	66	0	0	966	276	36402	3367	1167	4434	40836
Dacope	1586537	4383	1590920	892845	106601	55083	3181	1	3182	36	4306	401	4707	588	1404	4164	46	0	0	0	12	1667	1933	22	1954	3621
Terokhada	1379566	3495	1383061	1800458	50011	32791	3059	2	3061	118	4301	13	4314	684	1727	3966	55	0	0	0	33	579	911	59	958	1537
Fultala	1174807	3550	1178357	2787747	145456	79748	5474	0	5474	148	3646	128	3774	890	1571	5198	4	0	0	0	0	994	1233	150	1383	2377
Batiaghata	1701870	6847	1708717	1684409	112172	67982	5272	4	5276	537	3283	50	3333	824	2144	6639	11	0	0	0	5	2188	929	58	979	3167
Paikgachha	2937100	7277	2944377	1733423	156879	88387	3359	5	3364	269	8029	161	8190	1371	1422	4440	17	0	0	0	7	1458	3418	462	3879	5337
Rupsha	1609418	4411	1613829	1735030	111815	55718	6327	7	6334	261	3469	807	4276	769	1835	4566	76	21	1	0	72	1632	2350	386	2736	4368
Koyra	2792109	9414	2801523	1641887	86773	47638	1751	6	1757	80	4083	44	4127	708	1877	5356	4	0	0	1849	152	1144	1576	5	1581	2725
