thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Bochaganj	1931830	6406	1938236	752567	147868	70044	3930	61	3991	261	5874	175	6049	668	3711	6978	0	0	0	0	69	2015	2436	174	2610	4625
Kaharole	1386972	8223	1395195	391074	152319	69234	4215	0	4215	272	5763	127	5890	0	2602	6265	0	0	0	0	0	1683	2942	2	2944	4627
Fulbari	1531478	4242	1535720	753057	67717	28027	3722	1	3723	371	6147	109	6256	1908	2535	8076	0	0	0	0	88	2791	1644	533	2177	4968
Khanshama	2116404	6791	2123195	712951	210489	100508	2882	79	2961	151	8710	154	8864	1730	2466	6754	0	0	0	0	55	1651	2971	135	3106	4757
Dinajpur Sadar	3939231	13654	3952885	3640720	553183	318712	6825	431	7256	736	19658	161	19819	4367	12285	6448	75	0	0	0	16	11205	4126	3647	7773	18978
Hakimpur	850226	3660	853886	1051379	73543	42154	2808	1	2809	99	4058	99	4157	784	3202	3824	0	0	0	14450	0	2458	925	3	928	3386
Birganj	3346909	9795	3356704	1145270	262633	135668	5217	0	5217	461	17166	135	17301	3596	3725	4850	1	0	0	0	234	2933	5169	583	5752	8685
Ghoraghat	1138628	6633	1145261	752042	77001	38568	4674	0	4674	391	4470	28	4498	1455	2138	3111	0	0	0	0	0	1807	1464	0	1464	3271
Birol	2544993	9844	2554837	1501502	205045	111492	4761	6	4767	659	7594	62	7656	2149	3435	5153	0	0	0	0	0	1841	3944	22	3966	5807
Chirir Bandar	2492540	9713	2502253	841383	213602	105032	3803	31	3834	343	6164	268	6432	1019	3612	9736	0	0	0	0	123	2808	3238	56	3288	6096
Parbatipur	3694941	13211	3708152	3802426	455740	242800	11536	14	11550	1503	10976	60	11036	1953	4591	11274	15	0	94	0	72	5669	4966	0	4808	10477
Nawabganj	2328492	8988	2337480	1192732	254993	130354	3755	14	3769	207	5741	149	5890	898	3619	7807	0	0	0	0	153	3453	1810	14	1824	5277
Birampur	1178659	5323	1183982	798316	76953	36397	5274	5	5279	291	4710	30	4740	1402	2883	4849	0	0	0	0	211	3873	1652	256	1901	5774
