thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Naogaon Sadar	3649970	10884	3660854	3708203	296927	148430	4847	472	5319	339	7913	241	8154	635	3676	8569	1	0	0	0	0	584	4665	1727	6382	6966
Mohadebpur	3760257	10493	3770750	1709728	180944	86161	4380	5	4385	900	6268	267	6535	1482	2477	5361	0	0	0	13440	34	1553	5455	566	5967	7520
Manda	4979947	16039	4995986	1866580	304134	148442	11566	427	11993	1095	6188	14	6202	1670	2675	7431	8	0	15	0	52	1015	3494	110	3600	4615
Badalgachhi	2313432	4744	2318176	1758577	296245	148644	2144	1	2145	229	3040	0	3040	728	3329	2068	0	0	0	0	124	1038	2271	25	2269	3307
Rani Nagar	2274958	6221	2281179	1882221	91459	50697	1627	0	1627	128	3457	133	3590	408	2519	4524	1	9	0	5248	71	920	945	5	948	1868
Patnitola	1560576	9914	1570490	901033	79959	38378	2024	110	2134	103	5309	1	5310	1016	2068	7880	0	0	0	0	2	1793	5183	553	5734	7527
Atrai	1934937	6265	1941202	1924501	77780	37697	2459	12	2471	311	2872	139	3011	421	2956	6012	0	0	0	65110	98	840	1693	486	2179	3019
Dhamoirhat	1583931	5815	1589746	1384361	160298	90580	1838	0	1838	530	1960	36	1996	550	2979	5359	0	0	0	0	40	2064	1327	0	1327	3391
Niamatpur	2089605	9171	2098776	1406147	133684	68305	3541	0	3541	587	5481	7	5488	2176	2132	4567	9	0	6	10375	86	1066	2868	653	3521	4587
Porsa	1544959	5144	1550103	1481100	89092	41839	1787	1	1788	98	2151	0	2151	988	1108	5980	0	0	0	0	56	1212	1316	177	1493	2705
Sapahar	1621134	6110	1627244	1018072	134248	66056	686	0	686	164	3130	13	3143	1304	2038	5686	1	0	0	0	201	2160	1126	230	1355	3515
