thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Dherai	1669723	12269	1681992	3692424	96167	72566	3882	43	3925	648	3490	0	3490	918	3346	12738	95	0	738350	166920	10	2036	2778	2	2780	4816
Sunamganj Sadar	1511022	10348	1521370	2343698	169609	110605	4721	383	5104	1909	5980	0	5980	3349	3028	8722	96	0	0	73508	92	1199	3077	617	3694	4893
Dharmapasa	2195443	6800	2202243	2223861	188106	132859	3686	2	3688	291	3284	670	3954	116	2612	12871	41	0	0	39680	54	480	2743	34	2777	3257
Sulla	829844	4162	834006	1305714	41337	30980	1614	39	1653	157	1141	0	1141	343	1901	4914	16	0	0	15583	25	567	1053	1	1054	1621
Tahirpur	1442401	9129	1451530	2040029	72430	42374	4008	53	4061	1529	3478	81	3559	885	1605	12312	0	0	0	262036	0	1667	1842	45	1885	3552
Chhatak	1233053	8046	1241099	1839396	78737	47324	6903	31	6934	744	1109	7	1116	196	4250	7641	41	0	1350	299809	336	1891	3248	30	3278	5169
Jogonnathpur	1086884	7641	1094525	1740203	40707	27167	2458	1	2459	125	2962	0	2962	515	370	9520	0	0	0	0	3	2119	2640	0	2640	4759
Jamalganj	1529436	5732	1535168	1851352	172988	93718	1967	0	1967	837	1441	81	1522	280	1615	11821	3	0	0	175546	86	524	1424	0	1425	1949
Bishwamvarpur	959331	6440	965771	966414	63631	39466	1898	12	1910	128	2019	1	2020	228	2166	6503	0	0	0	31418	836	1671	1283	1	1284	2955
Dowara Bazar	1494997	58119	1553116	1304409	138169	85747	2067	10	2077	235	2603	73	2676	316	991	4264	59	0	363058	87214	991	2292	1532	17	1548	3840
Sadar (South)	929745	12149	941894	1414241	74825	55274	2068	2	2070	180	2037	0	2037	502	1475	9654	0	0	4	180119	131	795	1767	0	1766	2561
