thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Langadu	656775	2420	659195	967625	64318	37365	771	105	876	67	2665	39	2704	226	3884	279	8	0	0	366	17	806	144	3	147	953
Kawkhali	398226	3118	401344	609339	62343	39910	1220	0	1220	74	3011	0	3011	547	2942	99	1	0	0	0	0	261	293	0	289	550
Rangamati Sadar	954441	2175	956616	1369865	87981	48897	4056	312	4368	552	5331	4	5335	1478	6327	908	90	0	0	10550	121	1095	353	46	382	1477
Baghaichhari	832871	1536	834407	1132577	47452	29390	803	0	803	20	976	3	979	10	2312	83	24	0	0	63497	0	51	280	0	279	330
Barkal	380664	1352	382016	559821	44607	28842	614	2	616	52	161	0	161	3	2649	178	4	0	0	0	6	157	48	3	51	208
Naniarchar	568984	1988	570972	826379	30263	18105	612	4	616	209	1481	3	1484	225	3233	202	5	0	0	79	55	408	130	2	132	540
Jurachhari	268287	978	269265	224106	15720	9786	604	0	604	135	414	0	414	4	999	129	0	0	0	447	24	235	62	0	62	297
Kaptai	359302	1454	360756	666006	50212	28552	598	3	601	20	1986	18	2004	84	2117	0	0	0	0	0	0	119	572	14	586	705
Rajasthali	214515	557	215072	223920	18661	9049	541	0	541	47	1450	51	1501	253	1675	107	0	0	0	0	19	347	69	0	69	416
Belaichhari	307706	1549	309255	236756	18786	9424	503	0	503	9	683	23	706	6	335	72	0	0	0	0	0	73	159	1	156	229
