thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Atpara	1751186	4409	1755595	1392550	107101	59229	2760	1	2761	250	3991	110	4101	538	1177	4945	0	0	0	0	39	1680	730	3	728	2408
Kalmakanda	2824551	4116	2828667	3322055	179550	103913	3526	3	3529	81	3427	214	3641	137	1093	2271	0	0	0	273	108	1842	956	2	956	2798
Modan	1783935	5161	1789096	1555042	90085	53212	2906	15	2921	110	3426	219	3645	1041	787	5853	0	0	0	0	91	1558	520	74	594	2152
Purbadhala	3440103	5561	3445664	2291647	293278	170622	5716	2	5718	402	7918	398	8316	910	1028	3904	3	0	0	0	163	1898	2060	0	2055	3953
Kendua	3201814	11483	3213297	1864604	181886	100637	8617	29	8646	1686	5284	650	5934	1983	1775	7246	0	0	0	1697	1	1990	1944	9	1953	3943
Netrokona Sadar	3444744	10753	3455497	3885847	339657	200976	6301	7	6308	510	9398	1473	10871	2492	1877	7167	250	0	0	1115	1181	3868	2425	1870	4264	8132
Durgapur	2448424	4169	2452593	2491270	267373	160709	4372	10	4382	238	4968	7	4975	517	859	1134	10	0	0	26862	882	1405	1601	0	1587	2992
Barhatta	1920801	8360	1929161	1868227	166522	108365	2890	8	2898	310	2850	0	2850	1057	960	3950	0	0	0	0	41	1411	1667	9	1676	3087
Mohonganj	2370425	3969	2374394	1572575	133634	82371	5546	10	5556	315	3227	100	3327	962	1095	4118	32	0	0	1460	229	1557	2024	9	2020	3577
Khaliajhuri	764802	3525	768327	907229	64357	35170	988	0	988	114	1593	0	1593	22	1666	1036	0	0	0	0	2	337	1418	3	1414	1751
