   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:37
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	34111	14326	1684	5063	1302	788	536	2196	2732	25895	75.9139
Pabna Sadar	124325	42598	9449	27680	4924	2689	3628	6684	10312	97652	78.5457
Chatmohor	69354	30751	4055	5919	3016	1361	849	6787	7636	52738	76.0418
Ishwardi	67862	24465	6904	11636	2576	2181	823	5006	5829	53591	78.9706
Faridpur	27599	9853	1698	6473	1124	373	1035	1827	2862	22383	81.1008
Sujanagar	59347	21282	3118	9607	4389	2377	493	4741	5234	46007	77.5220
Santhia	86207	35957	3745	18607	3001	1836	1307	4567	5874	69020	80.0631
Bera	54186	24108	3090	8805	1884	1161	719	2404	3123	42171	77.8264
Bhangoora	27763	12994	1828	2454	1140	204	896	1668	2564	21184	76.3030

 
