   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dighinala	14831	4867	994	2740	1036	138	329	765	1094	10869	73.2857
Khagrachhari Sadar	15250	7143	387	2634	409	331	309	674	983	11887	77.9475
Mahalchhari	8006	2819	202	922	298	106	123	401	524	4871	60.8419
Panchhari	9643	5206	198	1020	185	111	153	228	381	7101	73.6389
Ramgarh	9652	4071	285	1279	524	122	20	356	376	6657	68.9702
Manikchhari	8544	2749	278	1718	383	117	93	692	785	6030	70.5758
Matiranga	18878	7603	715	3480	701	138	441	1227	1668	14305	75.7760
Lakshmichhari	3758	1431	65	359	153	6	13	194	207	2221	59.1006

 
