   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:19
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	33663	14497	1518	3937	1228	1437	347	2532	2879	25496	75.7389
Pabna Sadar	117190	42549	7852	24836	3563	2473	1715	6049	7764	89037	75.9766
Chatmohor	66825	32719	3455	4330	2319	1984	573	7022	7595	52402	78.4168
Ishwardi	64990	23174	7172	11463	2122	2866	592	4148	4740	51537	79.2999
Faridpur	26086	9825	1601	5393	886	543	650	1772	2422	20670	79.2379
Sujanagar	57298	22344	3820	7577	3493	2222	269	4225	4494	43950	76.7042
Santhia	79849	34685	2937	15615	1896	1238	448	4241	4689	61060	76.4693
Bera	51635	23640	2382	7364	1406	1152	192	2017	2209	38153	73.8898
Bhangoora	26175	13211	1487	1614	946	239	441	1559	2000	19497	74.4871

 
