   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:17
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	89551	37219	4083	2796	1734	793	402	10870	11272	57897	64.6525
Nagarpur	62575	28945	3244	3367	1239	864	263	5586	5849	43508	69.5294
Bhuapur	34801	15207	2088	3135	858	806	426	1745	2171	24265	69.7250
Ghatail	90883	42740	4179	6335	1179	1018	1550	5427	6977	62428	68.6905
Basail	37723	13549	1758	2056	1209	131	272	3210	3482	22185	58.8103
Tangail Sadar	99737	37977	7715	8760	1792	2174	1050	8411	9461	67879	68.0580
Kalihati	68090	25964	4396	5358	1278	2120	695	5399	6094	45210	66.3974
Modhupur	102476	51046	2495	7813	615	878	1871	5072	6943	69790	68.1038
Gopalpur	48615	19818	1944	5476	1080	562	840	2388	3228	32108	66.0455
Shakhipur	62318	28888	2023	2316	723	330	1254	4566	5820	40100	64.3474
Delduar	47911	15717	2384	2987	916	728	242	5748	5990	28722	59.9487

 
