   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:49
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	30685	10731	3418	3395	1537	2191	936	1712	2648	23920	77.9534
Rangunia	74804	30124	4057	8911	3668	2848	734	6645	7379	56987	76.1818
Doublemooring	45221	16182	6636	5297	1302	1453	752	1915	2667	33537	74.1624
Fatichhari	99535	36566	7087	13826	3057	5254	611	7174	7785	73575	73.9187
Hathazari	71428	29847	7381	5030	2649	2300	620	4785	5405	52612	73.6574
Sitakunda	71182	26207	4787	9361	2826	2724	372	4568	4940	50845	71.4296
Mirsharai	79042	27135	4434	12474	3833	2301	108	5296	5404	55581	70.3183
Rawzan	60803	23922	4134	6097	3643	2198	756	4965	5721	45715	75.1854
Sandwip	54130	22495	2187	10703	2193	644	272	889	1161	39383	72.7563
Boalkhali	44291	18741	2737	4281	2613	2271	619	3856	4475	35118	79.2892
Chandlaish	42745	17066	3229	3537	2055	665	459	4362	4821	31373	73.3957
Banshkhali	80237	32715	5171	11047	1896	2455	1069	4411	5480	58764	73.2380
Satkania	66693	28656	4043	8616	1809	1926	645	3981	4626	49676	74.4846
Anwara	46671	19508	2320	4357	1792	1225	582	3215	3797	32999	70.7056
Patiya	95120	37070	5569	9328	3771	4205	1038	7132	8170	68113	71.6074
Lohagora	55953	22183	3515	10563	1946	1012	413	3908	4321	43540	77.8153

 
