   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:19
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atpara	29443	11921	653	4477	734	520	1230	1707	2937	21242	72.1462
Kalmakanda	45242	20264	1856	3454	945	524	1109	1677	2786	29829	65.9321
Modan	27574	12649	695	1736	624	405	843	1057	1900	18009	65.3115
Purbadhala	55775	25326	1019	6153	1379	1366	1473	3285	4758	40001	71.7185
Kendua	53691	23107	884	3855	1665	661	1334	4040	5374	35546	66.2048
Netrokona Sadar	63813	26190	2802	5482	1317	1452	3165	5229	8394	45637	71.5168
Durgapur	42362	15920	886	5330	1875	1287	1342	3504	4846	30144	71.1581
Barhatta	31082	14153	1138	2006	1288	399	1005	1777	2782	21766	70.0277
Mohonganj	32011	12443	1247	2231	1447	252	901	1647	2548	20168	63.0033
Khaliajhuri	11498	4341	978	1186	331	185	145	735	880	7901	68.7163

 
