   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	56337	23568	1558	12767	676	856	918	3312	4230	43655	77.4890
Roumari	41508	16401	1919	8859	1659	430	868	1503	2371	31639	76.2239
Kurigram Sadar	64397	30172	1890	11091	575	536	1462	3518	4980	49244	76.4694
Ulipur	92489	43835	1137	17439	1547	899	1233	2147	3380	68237	73.7785
Nageswari	85802	43063	1433	12006	1850	811	2007	4026	6033	65196	75.9842
Chilmari	34090	15730	762	5558	743	385	300	1415	1715	24893	73.0214
Fulbari	35261	14431	600	7235	570	614	1318	3570	4888	28338	80.3664
Char Rajibpur	20797	6762	1390	6219	495	209	365	413	778	15853	76.2273
Rajarhat	42170	16954	855	9769	551	479	1097	2324	3421	32029	75.9521

 
