   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	90792	42797	7498	5317	2595	755	828	12054	12882	71844	79.1303
Nagarpur	64620	30491	3577	5685	1654	1991	363	6000	6363	49761	77.0056
Bhuapur	45479	16851	4263	7790	1321	2024	837	1704	2541	34790	76.4968
Ghatail	97856	44696	6318	12625	1829	2493	2890	5557	8447	76408	78.0821
Basail	37814	16328	3055	4352	1525	395	767	2846	3613	29268	77.3999
Tangail Sadar	108605	40971	9921	15569	1983	5649	2650	9468	12118	86211	79.3803
Kalihati	82340	34307	7550	10879	2279	3808	1251	6495	7746	66569	80.8465
Modhupur	106517	51837	3268	11492	860	1457	3319	5051	8370	77284	72.5556
Gopalpur	64523	23840	3934	12454	2776	1549	2078	2727	4805	49358	76.4968
Shakhipur	65319	33048	3347	3830	1048	472	2026	4762	6788	48533	74.3015
Delduar	45911	17384	3189	3996	1043	1455	461	5132	5593	32660	71.1376

 
