   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:29
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dighinala	15567	5294	1062	2788	993	123	183	712	895	11155	71.6580
Khagrachhari Sadar	15508	6179	439	2734	364	364	358	623	981	11061	71.3245
Mahalchhari	8005	3200	332	1019	234	107	184	348	532	5424	67.7577
Panchhari	9582	5295	152	809	114	116	186	160	346	6832	71.3004
Ramgarh	9335	3732	265	1209	448	260	48	340	388	6302	67.5094
Manikchhari	8589	2727	289	1805	401	134	167	769	936	6292	73.2565
Matiranga	20662	8084	832	3841	480	207	546	1267	1813	15257	73.8409
Lakshmichhari	4344	1839	101	327	148	5	33	229	262	2682	61.7403

 
