   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	62987	22666	4167	14199	748	2157	1512	3325	4837	48774	77.4350
Roumari	44192	13288	3266	10989	1825	1533	2121	1256	3377	34278	77.5661
Kurigram Sadar	75423	28449	1976	17212	719	1997	2626	4442	7068	57421	76.1319
Ulipur	103987	43880	3253	18982	2822	3573	1761	2955	4716	77226	74.2651
Nageswari	100629	37976	2770	19246	2213	3455	5146	4185	9331	74991	74.5223
Chilmari	31292	13166	1312	4751	1474	2314	964	1607	2571	25588	81.7717
Fulbari	40309	14042	751	9266	396	1499	1976	3148	5124	31078	77.0994
Char Rajibpur	22653	5923	2910	5804	549	1027	1168	310	1478	17691	78.0956
Rajarhat	47886	19119	1621	10416	834	1477	1509	2664	4173	37640	78.6033

 
