   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	86650	38513	5301	3401	2174	488	446	11171	11617	61494	70.9683
Nagarpur	63239	29404	3341	4579	1616	1007	302	5862	6164	46111	72.9154
Bhuapur	41404	17205	3162	5991	1012	990	593	1843	2436	30796	74.3793
Ghatail	92652	43630	5225	9833	1542	1302	2047	5245	7292	68824	74.2823
Basail	37926	14635	2247	2557	1441	186	349	3318	3667	24733	65.2138
Tangail Sadar	104733	40522	9343	11481	2053	2377	1242	8837	10079	75855	72.4270
Kalihati	72329	28074	5475	7131	1647	2212	838	5814	6652	51191	70.7752
Modhupur	103838	50923	2758	9369	889	1165	2714	5116	7830	72934	70.2383
Gopalpur	63747	24447	3394	14386	2048	801	1449	2486	3935	49011	76.8836
Shakhipur	62934	30729	2331	2783	870	326	1477	4801	6278	43317	68.8292
Delduar	46175	16360	2520	3235	980	909	447	5555	6002	30006	64.9832

 
