   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:39
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gangachara	62666	19571	912	12880	935	2286	5727	4525	10252	46836	74.7391
Pirganj	89716	40628	3116	14387	3370	1637	4421	4468	8889	72027	80.2833
Pirgachha	73195	29920	2401	16090	2222	1587	2961	4544	7505	59725	81.5971
Badarganj	64501	23170	1650	6639	676	1544	9977	6087	16064	49743	77.1197
Mithapukur	117299	51234	4793	19412	2234	3003	4310	5565	9875	90551	77.1967
Kaunia	48610	17272	1500	11826	789	1138	3005	2625	5630	38155	78.4921
Rangpur Sadar	132264	50732	8336	28120	1517	3208	4422	6977	11399	103312	78.1104
Taraganj	32132	11834	737	3905	512	1227	3733	3051	6784	24999	77.8009

 
